Type Mission;Mission;Code Mission;Programme;Libellé Programme;Action;Libellé Action;Sous Action;Libellé SousAction;Catégorie;Code Titre;AE  PLF;CP PLF;AE Prev FDC/ADP;CP Prev FDC/ADP;Ministère
BG;Écologie, développement et mobilité durables;TA;113.0;Paysages, eau et biodiversité;07;Gestion des milieux et biodiversité;;;53.0;5;3791314.0;2838414.0;0.0;0.0;Transition écologique, énergie, climat et prévention des risques
BG;Enseignement scolaire;EC;140.0;Enseignement scolaire public du premier degré;06;Pilotage et encadrement pédagogique;;;31.0;3;6878529.0;6878529.0;230000.0;230000.0;Éducation nationale
BG;Gestion des finances publiques;GA;302.0;Facilitation et sécurisation des échanges;05;Fiscalité douanière, énergétique et environnementale;;;22.0;2;47920607.0;47920607.0;0.0;0.0;Budget et comptes publics
BG;Investir pour la France de 2030;AV;422.0;Valorisation de la recherche;05;Accélération du développement des écosystèmes d'innovation performants;;;62.0;6;0.0;23200000.0;0.0;0.0;Services du Premier ministre
BG;Justice;JA;310.0;Conduite et pilotage de la politique de la justice;09;Action informatique ministérielle;;;52.0;5;0.0;18020000.0;0.0;0.0;Justice
BG;Défense;DA;212.0;Soutien de la politique de la défense;67;Pilotage, soutien et communication - dépenses de personnel des cabinets et des organismes rattachés / RH;04;Délégation à l'Information et la Communication de la Défense;21.0;2;7019732.0;7019732.0;0.0;0.0;Armées et anciens combattants
CAS;Gestion du patrimoine immobilier de l'État;YB;723.0;Opérations immobilières et entretien des bâtiments de l'État;12;Contrôles règlementaires, audits, expertises et diagnostics;;;51.0;5;1000000.0;1000000.0;0.0;0.0;Budget et comptes publics
BG;Action extérieure de l'État;AA;105.0;Action de la France en Europe et dans le monde;01;Coordination de l'action diplomatique;;;61.0;6;5006753.0;5006753.0;0.0;0.0;Europe et affaires étrangères
BG;Agriculture, alimentation, forêt et affaires rurales;AC;149.0;Compétitivité et durabilité de l'agriculture, de l'agroalimentaire et de la forêt;29;Planification écologique;06;Soutien au renouvellement forestier;62.0;6;228000000.0;195301658.0;0.0;0.0;Agriculture, souveraineté alimentaire et forêt
BG;Défense;DA;146.0;Équipement des forces;09;Engagement et combat;66;Opérer en milieu hostile - Véhicule blindé de combat d'infanterie (VBCI);31.0;3;0.0;799019.0;0.0;0.0;Armées et anciens combattants
BG;Justice;JA;310.0;Conduite et pilotage de la politique de la justice;03;Évaluation, contrôle, études et recherche;;;22.0;2;8474331.0;8474331.0;0.0;0.0;Justice
BG;Cohésion des territoires;VA;135.0;Urbanisme, territoires et amélioration de l'habitat;04;Réglementation, politique technique et qualité de la construction;;;31.0;3;54600000.0;54600000.0;0.0;0.0;Logement et rénovation urbaine
BG;Écologie, développement et mobilité durables;TA;174.0;Énergie, climat et après-mines;01;Politique de l'énergie;;;64.0;6;24442229.0;24442229.0;0.0;0.0;Transition écologique, énergie, climat et prévention des risques
BG;Écologie, développement et mobilité durables;TA;181.0;Prévention des risques;14;Fonds de prévention des risques naturels majeurs;;;62.0;6;13400000.0;26800000.0;0.0;0.0;Transition écologique, énergie, climat et prévention des risques
BG;Enseignement scolaire;EC;141.0;Enseignement scolaire public du second degré;13;Personnels en situations diverses;;;21.0;2;63981798.0;63981798.0;0.0;0.0;Éducation nationale
BG;Sécurités;SB;152.0;Gendarmerie nationale;04;Commandement, ressources humaines et logistique;02;Commandement, ressources humaines et logistique - administration centrale et cabinet;21.0;2;67907712.0;67907712.0;0.0;0.0;Intérieur
BG;Solidarité, insertion et égalité des chances;SE;304.0;Inclusion sociale et protection des personnes;13;Ingénierie, outils de la gouvernance et expérimentations;;;64.0;6;10450000.0;10450000.0;0.0;0.0;Solidarités, autonomie et égalité entre les femmes et les hommes
BG;Défense;DA;146.0;Équipement des forces;07;Commandement et maîtrise de l'information;37;Communiquer - DESCARTES;64.0;6;4000000.0;1614869.0;0.0;0.0;Armées et anciens combattants
BG;Enseignement scolaire;EC;214.0;Soutien de la politique de l'éducation nationale;04;Expertise juridique;;;31.0;3;6500000.0;6500000.0;0.0;0.0;Éducation nationale
BG;Plan de relance;PR;363.0;Compétitivité;06;Commandes militaires;;;51.0;5;0.0;39738112.0;0.0;0.0;Budget et comptes publics
BG;Gestion des finances publiques;GA;218.0;Conduite et pilotage des politiques économiques et financières;08;Accompagnement du changement de l'action publique;;;23.0;2;22909.0;22909.0;0.0;0.0;Budget et comptes publics
BG;Justice;JA;310.0;Conduite et pilotage de la politique de la justice;03;Évaluation, contrôle, études et recherche;;;31.0;3;580532.0;740532.0;0.0;0.0;Justice
BG;Écologie, développement et mobilité durables;TA;174.0;Énergie, climat et après-mines;03;Aides à l'acquisition de véhicules propres;;;31.0;3;10000000.0;10000000.0;0.0;0.0;Transition écologique, énergie, climat et prévention des risques
BG;Défense;DA;178.0;Préparation et emploi des forces;03;Préparation des forces navales;07;Maintien en condition opérationnelle du matériel des forces navales;51.0;5;1097374972.0;605234967.0;0.0;0.0;Armées et anciens combattants
BG;Défense;DA;212.0;Soutien de la politique de la défense;54;"Planification des moyens et conduite des opérations - Personnel travaillant  pour le programme ""Préparation et emploi des forces""";02;Organismes interarmées à vocation opérationnelle;23.0;2;1002697.0;1002697.0;0.0;0.0;Armées et anciens combattants
BG;Recherche et enseignement supérieur;RA;193.0;Recherche spatiale;02;Développement de la technologie spatiale au service de l'observation de la terre;;;53.0;5;26905119.0;26905119.0;0.0;0.0;Économie, finances et industrie
CAS;Gestion du patrimoine immobilier de l'État;YB;723.0;Opérations immobilières et entretien des bâtiments de l'État;12;Contrôles règlementaires, audits, expertises et diagnostics;;;31.0;3;14000000.0;14000000.0;0.0;0.0;Budget et comptes publics
BG;Direction de l'action du Gouvernement;DC;129.0;Coordination du travail gouvernemental;17;Coordination de la politique des ressources humaines en matière d’encadrement supérieur et dirigeant de l’Etat;;;31.0;3;6000000.0;6000000.0;0.0;0.0;Services du Premier ministre
BG;Recherche et enseignement supérieur;RA;150.0;Formations supérieures et recherche universitaire;05;Bibliothèques et documentation;;;21.0;2;22946833.0;22946833.0;0.0;0.0;Enseignement supérieur et recherche
BG;Conseil et contrôle de l'État;CA;164.0;Cour des comptes et autres juridictions financières;24;Evaluation des politiques publiques;;;21.0;2;27581653.0;27581653.0;0.0;0.0;Services du Premier ministre
BG;Direction de l'action du Gouvernement;DC;308.0;Protection des droits et libertés;06;Autres autorités indépendantes;03;Commission nationale consultative des droits de l'homme;21.0;2;787518.0;787518.0;0.0;0.0;Services du Premier ministre
BG;Économie;DB;134.0;Développement des entreprises et régulations;24;Régulation concurrentielle des marchés, protection économique et sécurité du consommateur;;;23.0;2;2406911.0;2406911.0;0.0;0.0;Économie, finances et industrie
BG;Recherche et enseignement supérieur;RA;142.0;Enseignement supérieur et recherche agricoles;01;Enseignement supérieur;;;23.0;2;1901372.0;1901372.0;0.0;0.0;Agriculture, souveraineté alimentaire et forêt
BG;Défense;DA;146.0;Équipement des forces;10;Protection et sauvegarde;75;Assurer la sûreté des approches, la sécurité de l'Etat, de la nation et des citoyens - Patrouilleur futur;31.0;3;0.0;53828819.0;0.0;0.0;Armées et anciens combattants
BG;Écologie, développement et mobilité durables;TA;205.0;Affaires maritimes, pêche et aquaculture;02;Emplois et formations maritimes;;;63.0;6;6070000.0;6070000.0;0.0;0.0;Partenariat avec les collectivités territoriales et décentralisation
BG;Économie;DB;134.0;Développement des entreprises et régulations;24;Régulation concurrentielle des marchés, protection économique et sécurité du consommateur;;;21.0;2;151359850.0;151359850.0;0.0;0.0;Économie, finances et industrie
BG;Outre-mer;OA;138.0;Emploi outre-mer;02;Aide à l'insertion et à la qualification professionnelle;;;63.0;6;10552746.0;7560900.0;0.0;0.0;Outre-Mer
CCF;Prêts et avances à divers services de l'État ou organismes gérant des services publics;ZB;823.0;Avances à des organismes distincts de l'État et gérant des services publics;01;Avances à des organismes distincts de l'État et gérant des services publics;;;71.0;7;260000000.0;260000000.0;0.0;0.0;Économie, finances et industrie
BG;Sécurités;SB;161.0;Sécurité civile;12;Préparation et interventions spécialisées des moyens nationaux;;;21.0;2;129594780.0;129594780.0;0.0;0.0;Intérieur
BG;Agriculture, alimentation, forêt et affaires rurales;AC;149.0;Compétitivité et durabilité de l'agriculture, de l'agroalimentaire et de la forêt;21;Adaptation des filières à l'évolution des marchés;;;62.0;6;244984254.0;245589648.0;0.0;0.0;Agriculture, souveraineté alimentaire et forêt
BG;Agriculture, alimentation, forêt et affaires rurales;AC;215.0;Conduite et pilotage des politiques de l'agriculture;02;Évaluation de l'impact des politiques publiques et information économique;;;31.0;3;5551664.0;4551664.0;3070083.0;3070083.0;Agriculture, souveraineté alimentaire et forêt
BG;Justice;JA;182.0;Protection judiciaire de la jeunesse;03;Soutien;;;31.0;3;24414693.0;20751949.0;0.0;0.0;Justice
BG;Sécurités;SB;176.0;Police nationale;05;Police judiciaire;01;Police judiciaire - Administration centrale et cabinets;21.0;2;85143626.0;85143626.0;0.0;0.0;Intérieur
BG;Transformation et fonction publiques;TR;148.0;Fonction publique;02;Action sociale interministérielle;;;61.0;6;9560230.0;9560231.0;0.0;0.0;Fonction publique, simplification et transformation de l'action publique
BG;Défense;DA;212.0;Soutien de la politique de la défense;10;Restructurations;;;63.0;6;1826573.0;4740541.0;0.0;0.0;Armées et anciens combattants
BG;Cohésion des territoires;VA;135.0;Urbanisme, territoires et amélioration de l'habitat;07;Urbanisme et aménagement;;;31.0;3;9600000.0;9600000.0;0.0;0.0;Logement et rénovation urbaine
BG;Écologie, développement et mobilité durables;TA;203.0;Infrastructures et services de transports;42;Voies navigables;;;51.0;5;0.0;0.0;2000000.0;2000000.0;Partenariat avec les collectivités territoriales et décentralisation
BG;Travail, emploi et administration des ministères sociaux;TB;111.0;Amélioration de la qualité de l'emploi et des relations du travail;02;Qualité et effectivité du droit;;;62.0;6;318864.0;318864.0;0.0;0.0;Travail et emploi
BG;Cohésion des territoires;VA;162.0;Interventions territoriales de l'État;09;Plan littoral 21;;;64.0;6;1200000.0;500000.0;0.0;0.0;Services du Premier ministre
BG;Économie;DB;134.0;Développement des entreprises et régulations;13;Régulation des communications électroniques, des postes et de la distribution de la presse (ARCEP);;;22.0;2;4851750.0;4851750.0;0.0;0.0;Économie, finances et industrie
BG;Justice;JA;107.0;Administration pénitentiaire;02;Accueil et accompagnement des personnes placées sous main de justice;;;22.0;2;151640281.0;151640281.0;0.0;0.0;Justice
BG;Justice;JA;310.0;Conduite et pilotage de la politique de la justice;05;Developpement des techniques d’enquetes numeriques judiciaires;;;22.0;2;1413057.0;1413057.0;0.0;0.0;Justice
BG;Culture;CB;131.0;Création;06;Soutien à l'emploi et structurations des professions;;;62.0;6;65000000.0;65000000.0;0.0;0.0;Culture
BG;Sécurités;SB;176.0;Police nationale;01;Ordre public et protection de la souveraineté;02;Ordre public et protection de la souveraineté - Hors administration centrale et cabinets;23.0;2;9755396.0;9755396.0;0.0;0.0;Intérieur
BG;Travail, emploi et administration des ministères sociaux;TB;155.0;Soutien des ministères sociaux;22;Personnels mettant en œuvre les politiques d'amélioration de la qualité de l'emploi et des relations du travail;;;22.0;2;142561083.0;142561083.0;0.0;0.0;Travail et emploi
